agency.name,Basin_count,ID,Basin_Name,SubBasin_Name,No_basin,HydroRegion,DWR,Geo_Region,Basin_Prior,Prior,Basin_area (ac),Pop2010,Basin_GW_extract ,Agency_GW_extract,Basin_irri,Agency_irri,ab3030,abtoc,abmonth,sb1938,sbtoc,sbmonth,irwmp,irwmtoc,well_basin,well_agen,member,irwmporgs,waterorg
Plumas Water District,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,,,,0,N/A,not submitted,0,N/A,not submitted,1,3/1/2014,,,,22,16
Princeton-Codora-Glenn Irrigation District,57,5-21.52,SACRAMENTO VALLEY,COLUSA,1,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,10500,1,10/19/1995,45.6,0,N/A,not submitted,1,2/1/2009,725,,,60,45
Provident Water District,57,5-21.52,SACRAMENTO VALLEY,COLUSA,1,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,14439,1,10/19/1995,45.6,0,N/A,not submitted,1,2/1/2009,725,,,60,45
Ramirez Water District,121,5-21.60,SACRAMENTO VALLEY,NORTH YUBA,1,Sacramento River,NCRO,1,Medium,0,103151,14667,74800,10790,,,1,3/1/2005,158,1,12/28/2010,107.9,1,3/1/2014,,,10,22,16
Reclamation District 2068,107,5-21.66,SACRAMENTO VALLEY,SOLANO,1,Sacramento River,NCRO,1,Medium,0,425000,119263,346000,,,12835,1,1/9/1997,60.3,1,12/8/2005,47.2,1,2/1/2005,,,100,4,20
Reclamation District 108,30,5-21.67,SACRAMENTO VALLEY,YOLO,1,Sacramento River,NCRO,1,High,1,265000,194158,,,,48000,1,2/1/1995,37,1,11/1/2008,82,1,2/1/2009,,,,60,45
Reclamation District 1500,85,5-21.62,SACRAMENTO VALLEY,SUTTER,1,Sacramento River,NCRO,1,Medium,0,234400,94737,175300,,,,1,7/1/1997,66,1,2/1/2012,121,0,N/A,,,,0,11
Reclamation District 2035,30,5-21.67,SACRAMENTO VALLEY,YOLO,1,Sacramento River,NCRO,1,High,1,265000,194158,10800,,,17600,1,4/25/1995,39.8,0,N/A,not submitted,1,7-Apr,,34,,9,45
Reclamation District 2068,30,5-21.67,SACRAMENTO VALLEY,YOLO,1,Sacramento River,NCRO,1,High,1,265000,194158,,,,13000,1,1/9/1997,60.3,1,12/8/2005,47.2,1,2/1/2005,,,100,4,20
Reclamation District 784,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,8424,,,0,N/A,not submitted,0,N/A,not submitted,1,3/1/2014,,,10522,22,16
Reclamation District No. 108/Knights Landing Ridge Drainage District,57,5-21.52,SACRAMENTO VALLEY,COLUSA,1,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,48000,1,2/6/1995,37.2,1,11/14/2008,82.4,1,2/1/2009,725,,,60,45
Reclamation District No. 787,57,5-21.52,SACRAMENTO VALLEY,COLUSA,1,Sacramento River,NRO,3,Medium,0,918380,48369,346000,,,8950,1,2/25/1997,61.8,1,11/16/2005,46.5,1,2/1/2009,725,,50,60,45
Redding Area Water Council,89,5-6.03,REDDING AREA,ANDERSON,6,Sacramento River,NRO,3,Medium,0,98500,52937,23000,55000,,,1,11/1/1998,82,1,5/1/2007,64,1,4/14/2014,104,2287,,9,14
Redding Area Water Council,101,5-6.01,REDDING AREA,BOWMAN,6,Sacramento River,NRO,3,Medium,0,85330,7165,359,55000,,,1,11/1/1998,82,1,5/1/2007,64,1,4/14/2014,831,,,9,14
Redding Area Water Council,93,5-6.04,REDDING AREA,ENTERPRISE,6,Sacramento River,NRO,3,Medium,0,60900,68627,8576,55000,,,1,1/27/1998,72.9,1,5/1/2007,64,1,4/14/2014,2035,,,9,14
Richfield Water District,61,5-21.51,SACRAMENTO VALLEY,CORNING,1,Sacramento River,NRO,3,Medium,0,205640,18852,158600,,,,1,11/1/1996,58,0,N/A,not submitted,0,N/A,725,,,0,32
Richvale Irrigation District,84,5-21.59,SACRAMENTO VALLEY,EAST BUTTE,1,Sacramento River,NRO,3,Medium,0,265390,38465,180800,,,26800,1,12/20/1995,47.6,0,N/A,not submitted,1,2/1/2009,,,,60,8
Riverdale Irrigation District,17,5-22.08,SAN JOAQUIN VALLEY,KINGS,1,Tulare Lake,SCRO,2,High,1,977000,44700,150000,1500,480000,15143,1,12/6/1995,47.2,0,N/A,not submitted,1,7/27/2007,2335,0,0,57,32
Root Creek Water District,6,5-22.06,SAN JOAQUIN VALLEY,MADERA,1,San Joaquin River,SCRO,2,High,1,394000,116919,566000,,,,1,10/13/1997,69.4,1,1/1/2012,120,1,4/14/2008,264,81,6500,14,8
Sacramento Central Groundwater Authority,24,5-21.64,SACRAMENTO VALLEY,NORTH AMERICAN,1,Sacramento River,NCRO,1,High,1,351000,94737,399000,37121,,,0,N/A,not submitted,1,11/8/2006,58.2,1,6/1/2006,,,55000,26,11
Sacramento Groundwater Authority,24,5-21.64,SACRAMENTO VALLEY,NORTH AMERICAN,1,Sacramento River,NCRO,1,High,1,351000,94737,399000,90000,,,1,12/1/2003,143,1,12/11/2014,155.3,0,N/A,,,500000,0,14
San Joaquin River Exchange Contractors Water Authority,26,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA,1,San Joaquin River,SCRO,2,High,1,747000,107879,511000,,,240000,1,12/5/1997,71.1,1,4/4/2008,75.1,1,7/1/2014,379,,1975,32,4
San Luis and Delta-Mendota Water Authority North,26,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA,1,San Joaquin River,SCRO,2,High,1,747000,107879,511000,,,,1,12/5/1997,71.1,1,10/1/2007,69,1,7/1/2014,379,,15000,32,32
San Luis and Delta-Mendota Water Authority South,26,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA,1,San Joaquin River,SCRO,2,High,1,747000,107879,511000,,,,0,N/A,not submitted,1,3/1/2009,86,1,7/1/2014,379,,15000,32,32
Semitropic Water Storage District,21,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,1,Tulare Lake,SCRO,2,High,1,1945000,700323,1400300,700000,,140000,1,9/1/2003,140,0,N/A,not submitted,1,6/1/2014,1128,1240,300,31,8
Shafter-Wasco Irrigation District (SWID),21,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,1,Tulare Lake,SCRO,2,High,1,1945000,700323,1400300,,,30903,1,9/12/2006,176.4,1,7/1/2007,66,1,7/1/2007,1128,,270,6,5
Solano Irrigation District,107,5-21.66,SACRAMENTO VALLEY,SOLANO,1,Sacramento River,NCRO,1,Medium,0,425000,119263,346000,141000,,37145,1,2/1/1995,37,1,1/1/2006,48,1,2/1/2005,32,,1485,4,20
South Feather Water and Power Agency,84,5-21.59,SACRAMENTO VALLEY,EAST BUTTE,1,Sacramento River,NRO,3,Medium,0,265390,38465,180800,,,,0,N/A,not submitted,0,N/A,not submitted,0,N/A,,,,0,
South Sutter Water District,24,5-21.64,SACRAMENTO VALLEY,NORTH AMERICAN,1,Sacramento River,NCRO,1,High,1,351000,94737,399000,,,59000,1,2/28/1995,37.9,1,10/1/2009,93,1,2/1/2009,,,1800,60,20
South Yuba Water District,119,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA,1,Sacramento River,NCRO,1,Medium,0,89000,45014,104700,17605,,,1,6/20/1905,1038.4,1,12/28/2010,107.9,1,3/1/2014,,,,22,16
Stanford Vina Ranch Irrigation District,18,5-21.57,SACRAMENTO VALLEY,VINA,2,Sacramento River,NRO,3,High,1,124577,71397,150000,,,78000,1,11/1/1996,58,1,1/1/2013,132,1,3/1/2014,,13000,,9,32
